Expression,Meaning,Reading,Grammar,Additional_meaning,Marqueurs
郵便局,post office,郵便局[ゆうびんきょく],Noun,,jlpt-n5 jlpt-n5
教室,classroom,教室[きょうしつ],Noun,"department, laboratory; single-room school, small school",jlpt-n5 jlpt-n5
耳,ear,耳[みみ],Noun,"hearing; edge, crust; selvedge (non-fray machined edge of fabrics), selvage",jlpt-n5 jlpt-n5
切手,"stamp (postage), merchandise certificate",切手[きって],Noun,,jlpt-n5 jlpt-n5
台所,kitchen,台所[だいどころ],"Noun, No-adjective",financial situation,jlpt-n5
電気,electricity,電気[でんき],Noun,(electric) light,jlpt-n5 jlpt-n5
作文,"writing (an essay, prose, etc.), composition",作文[さくぶん],"Noun, Suru verb",formal writing with little real meaning,jlpt-n5 jlpt-n5
紅茶,black tea,紅茶[こうちゃ],Noun,,jlpt-n5 jlpt-n5
家庭,"home, family, household",家庭[かてい],"Noun, No-adjective",,jlpt-n5
野菜,vegetable,野菜[やさい],"Noun, No-adjective",,jlpt-n5 jlpt-n5
風呂,"bath, bathing, bathtub, bathroom",風呂[ふろ],Noun,"bathhouse, public bath; room for drying lacquerware; base (wooden joint connecting the blade of a hoe, spade, etc., to the handle)",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
玄関,"entrance, front door, entryway, entranceway, entry hall, vestibule, porch, foyer, mud room",玄関[げんかん],Noun,,jlpt-n5 jlpt-n5
地下鉄,"underground train, subway",地下鉄[ちかてつ],Noun,,jlpt-n5 jlpt-n5
鼻,nose,鼻[はな],Noun,,jlpt-n5 jlpt-n5
緑,green,緑[みどり],"No-adjective, Noun",greenery (esp. fresh verdure),jlpt-n5
昼,"noon, midday",昼[ひる],Noun,daytime; lunch,jlpt-n5 jlpt-n5
西,west,西[にし],Noun,,jlpt-n5 jlpt-n5
白,white,白[しろ],Noun,"innocence, innocent person; blank space; white go stone; white dragon tile; skewered grilled pig intestine",jlpt-n5 jlpt-n5
洗濯,"washing, laundry",洗濯[せんたく],"Noun, Suru verb","relaxing, taking a break",jlpt-n5 jlpt-n5
冷蔵庫,"refrigerator, fridge",冷蔵庫[れいぞうこ],Noun,,jlpt-n5 jlpt-n5
南,south,南[みなみ],Noun,,jlpt-n5
火曜日,Tuesday,火曜日[かようび],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
北,north,北[きた],Noun,"the North, northern territories; North Korea; north wind",jlpt-n5 jlpt-n5
茶色,"light brown, tawny",茶色[ちゃいろ],"Noun, No-adjective",,jlpt-n5 jlpt-n5
喫茶店,"coffee shop, tearoom, coffee lounge, coffeehouse, cafe",喫茶店[きっさてん],Noun,,jlpt-n5 jlpt-n5
黒,black,黒[くろ],Noun,"black go stone; guilt, guilty person",jlpt-n5 jlpt-n5
青,"blue, azure",青[あお],"Noun, No-adjective","green; green light (traffic); black (horse coat color); immature, unripe, young",jlpt-n5 jlpt-n5
靴下,"socks, sock, stockings, stocking",靴下[くつした],Noun,,jlpt-n5 jlpt-n5
封筒,envelope,封筒[ふうとう],Noun,,jlpt-n5 jlpt-n5
辺,"area, vicinity, region",辺[へん],Noun,"side, edge; circumstances",jlpt-n5 jlpt-n5
黄色,"yellow, amber",黄色[きいろ],"Na-adjective, Noun",,jlpt-n1 jlpt-n5
映画館,"movie theatre, movie theater, cinema",映画館[えいがかん],Noun,,jlpt-n5 jlpt-n5
箸,chopsticks,箸[はし],Noun,,jlpt-n2 jlpt-n5
食堂,"dining room, dining hall, cafeteria, messroom",食堂[しょくどう],Noun,"restaurant, eatery, snack bar, diner",jlpt-n5 jlpt-n5
牛肉,beef,牛肉[ぎゅうにく],Noun,,jlpt-n5 jlpt-n5
交差点,"crossing, intersection",交差点[こうさてん],Noun,,jlpt-n5 jlpt-n5
茶わん,"rice bowl, tea cup, teacup",茶[ちゃ]わん,Noun,,jlpt-n2 jlpt-n5
漢字,"Chinese characters, kanji",漢字[かんじ],Noun,,jlpt-n5 jlpt-n5
曇り,"cloudiness, cloudy weather",曇[くも]り,Noun,"fog (on a mirror, glasses, etc.), cloud (e.g. in marble), blur, mist, shadow, dimness; gloom, dejection",jlpt-n3 jlpt-n5 jlpt-n3 jlpt-n5
背広,business suit,背広[せびろ],Noun,,jlpt-n5 jlpt-n5
万年筆,fountain pen,万年筆[まんねんひつ],Noun,,jlpt-n5 jlpt-n5
灰皿,ashtray,灰皿[はいざら],Noun,,jlpt-n1 jlpt-n5 jlpt-n1 jlpt-n5
大使館,embassy,大使館[たいしかん],Noun,,jlpt-n5
豚肉,pork,豚肉[ぶたにく],Noun,,jlpt-n5 jlpt-n5
交番,"police box, small neighborhood police station",交番[こうばん],"Noun, Suru verb","alternation, alternating (e.g. current)",jlpt-n5 jlpt-n5
飲む,"to drink, to gulp, to swallow, to take (medicine)",飲[の]む,"Godan verb with mu ending, Transitive verb","to smoke (tobacco); to engulf, to overwhelm; to keep down, to suppress; to accept (e.g. demand, condition); to make light of, to conceal",jlpt-n5 jlpt-n5
頭,head,頭[あたま],Noun,"hair (on one's head); mind, brains, intellect; leader, chief, boss, captain; top, tip; beginning, start; head, person; top structural component of a kanji; pair",jlpt-n5 jlpt-n5
日曜日,Sunday,日曜日[にちようび],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
誕生日,birthday,誕生日[たんじょうび],Noun,,jlpt-n5 jlpt-n5
可愛い,"cute, adorable, charming, lovely, pretty",可愛[かわ]い,I-adjective,"dear, precious, darling, pet; innocent, childlike, childish, lovable; dainty, cute little, tiny",jlpt-n1 jlpt-n5
鞄,"bag, satchel, briefcase, basket",鞄[かばん],Noun,,jlpt-n5
土曜日,Saturday,土曜日[どようび],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
月曜日,Monday,月曜日[げつようび],"Adverbial noun, Temporal noun",,jlpt-n5 jlpt-n5
金曜日,Friday,金曜日[きんようび],"Adverbial noun, Temporal noun",,jlpt-n5
